Time,Analog Data,Digital Data
0.997,271,255
52.8575,271,255
96.4516,271,255
141.3327,271,255
180.2274,271,255
234.9048,271,255
277.755,271,255
320.6766,271,255
365.925,271,255
408.7983,271,255
456.6656,271,255
502.5524,271,255
547.4041,271,255
592.2837,271,255
638.8875,271,255
682.7768,271,255
728.1103,271,255
775.3531,271,255
820.7526,271,255
864.6263,271,255
910.472,271,255
958.3779,271,255
1001.2296,271,255
1047.1435,271,255
1092.027,271,255
1138.5833,271,255
1182.4682,271,255
1230.34,271,255
1276.9231,271,255
1319.7762,271,255
1364.6821,271,255
1410.5586,271,255
1459.4025,271,255
1500.6442,271,255
1546.9232,271,255
1591.7912,271,255
1636.6645,271,255
1682.5423,271,255
1728.4196,271,255
1773.9799,271,255
1819.9004,272,255
1864.7682,271,255
1910.6459,271,255
1956.5296,271,255
2000.3748,271,255
2046.2765,271,255
2091.8935,271,255
2136.7707,271,255
2182.6565,272,255
2227.529,271,255
2274.4027,271,255
2318.2925,271,255
2364.1648,271,255
2410.0078,271,255
2454.9262,271,255
2500.5343,271,255
2545.5241,271,255
2592.0897,271,255
2637.999,271,255
2681.8836,271,255
2727.7517,271,255
2773.6038,271,255
2818.4839,271,255
2863.3964,372,255
2909.2596,543,255
2955.1496,647,255
3001.9932,786,255
3045.467,978,255
3091.3493,1023,255
3136.233,1023,255
3181.4389,1022,255
3227.6729,1023,255
3273.5754,1023,255
3319.4277,1023,255
3364.3066,968,255
3410.2156,691,255
3451.075,587,255
3500.6864,509,255
3545.5726,379,255
3591.4124,241,255
3637.027,214,255
3682.0223,215,255
3727.9012,215,255
3774.7496,215,255
3818.6559,340,255
3865.5374,525,255
3909.4139,652,255
3956.2872,878,255
3999.2109,1020,255
4045.488,1023,255
4091.7088,1023,255
4137.9543,1022,255
4181.8765,1022,255
4227.7611,1021,255
4273.3337,979,255
4318.2328,613,255
4364.103,504,255
4409.9878,413,255
4454.8643,287,255
4500.4324,44,255
4545.3177,0,255
4591.1958,0,255
4636.0402,0,255
4680.9549,0,255
4726.8039,0,255
4772.6812,0,255
4817.3015,0,255
4863.1457,0,255
4908.4127,49,255
4953.3234,324,255
4999.2104,539,255
5044.1317,779,255
5089.9716,1023,255
5134.8317,1023,255
5180.7471,1022,255
5226.2801,1023,255
5272.546,1023,255
5317.4258,1023,255
5362.302,1023,255
5409.1489,1023,255
5455.0262,1023,255
5498.941,939,255
5544.8135,638,255
5590.7022,473,255
5635.5773,311,255
5680.4496,37,255
5726.3274,0,255
5772.2147,0,255
5817.0787,0,255
5862.9346,0,255
5908.5643,0,255
5953.4703,0,255
5999.3326,0,255
6043.2361,0,255
6089.1137,119,255
6133.9938,405,255
6179.8653,538,255
6225.4474,618,255
6271.291,901,255
6316.2086,1023,255
6362.086,1023,255
6407.9299,1023,255
6454.8235,1023,255
6497.7112,1023,255
6543.5949,1023,255
6589.4705,923,255
6634.3513,568,255
6680.1956,463,255
6726.0004,311,255
6771.8794,34,255
6815.764,0,255
6861.6374,0,255
6906.5217,0,255
6951.3977,0,255
6997.4402,0,255
7042.326,0,255
7089.2179,0,255
7133.083,21,255
7178.9634,246,255
7224.8546,471,255
7270.684,596,255
7314.606,821,255
7360.4773,1023,255
7407.3442,1023,255
7451.2318,1023,255
7497.0782,1023,255
7542.9909,1023,255
7587.8698,1023,0
7632.7471,1023,0
7680.589,1023,0
7724.4701,1023,0
7770.3892,1023,0
7814.2682,1023,0
7860.1085,1023,0
7905.9845,1023,255
7950.8967,1023,255
7996.2384,1023,255
8043.1001,1023,255
8087.9831,1023,0
8132.8287,1023,0
8177.7601,1023,0
8224.6105,1023,0
8269.4632,1022,0
8313.3749,1023,0
8360.2194,1023,0
8405.1311,1023,0
8450.0147,1023,0
8496.8885,1023,0
8541.7594,1023,0
8586.6165,1023,0
8631.5258,1023,0
8676.8487,1023,0
8723.6875,1023,0
8767.5978,1023,0
8813.4738,1022,0
8859.3264,1023,0
8905.204,1023,0
8950.1175,1023,0
8994.6764,1023,0
9040.5577,1023,0
9086.4286,1023,0
9131.2766,1023,0
9175.9377,1023,0
9223.7749,1023,0
9266.6912,1023,0
9312.5619,1023,0
9357.4487,1023,0
9404.2925,1023,0
9448.2058,1023,0
9495.0746,1023,0
9540.9582,1023,0
9585.8092,1023,0
9632.6805,1023,0
9676.564,1022,0
9722.4402,1023,0
9770.0292,1023,0
9805.9718,1023,0
9857.7946,1023,0
9902.6749,1023,0
9947.5822,1023,0
999
